County,Municipality,Any Locations Found?,URL,Location Type,Location Name,Voting Dates and Times,Address Line 1,Address Line 2,City,State,Zip,Special Rules and Instructions,Questions / Notes
Palm Beach,Juno Beach,Yes,https://www.pbcelections.org/Voters/Vote-By-Mail,Mobile Van Dropoff,Juno Beach Town Center,"7am - 7 pm through Sunday, Nov 1",340 Ocean Dr,,Juno Beach,FL,33408,Mobile van ballot drop off only - call Supervisor of Elections Office (561) 656-6200 between 8:30a-5p Mon-Fri with questions ,Polls are open 7a-7p -- Van-only locations may or may not follow same hours
Palm Beach,West Palm Beach,Yes,https://www.pbcelections.org/Voters/Vote-By-Mail,Mobile Van Dropoff,Okeechobee Blvd Branch Library,"7am - 7 pm through Sunday, Nov 1",5689 Okeechobee Blvd,,West Palm Beach,FL,33417,Mobile van ballot drop off only - call Supervisor of Elections Office (561) 656-6200 between 8:30a-5p Mon-Fri with questions ,Polls are open 7a-7p -- Van-only locations may or may not follow same hours
Palm Beach,Lake Worth,Yes,https://www.pbcelections.org/Voters/Vote-By-Mail,Mobile Van Dropoff,Osborne Community Center,"7am - 7 pm through Sunday, Nov 1",1699 Wingfield St,,Lake Worth,FL,33460,Mobile van ballot drop off only - call Supervisor of Elections Office (561) 656-6200 between 8:30a-5p Mon-Fri with questions ,Polls are open 7a-7p -- Van-only locations may or may not follow same hours
Palm Beach,Royal Palm Beach,Yes,https://www.pbcelections.org/Voters/Vote-By-Mail,Mobile Van Dropoff,Royal Palm Beach Town Hall,"7am - 7 pm through Sunday, Nov 1",1050 Royal Palm Beach Blvd,,Royal Palm Beach,FL,33411,Mobile van ballot drop off only - call Supervisor of Elections Office (561) 656-6200 between 8:30a-5p Mon-Fri with questions ,Polls are open 7a-7p -- Van-only locations may or may not follow same hours
Palm Beach,West Palm Beach,Yes,https://www.pbcelections.org/Voters/Vote-By-Mail,Mobile Van Dropoff,South Olive Community Center,"7am - 7 pm through Sunday, Nov 1",345 Summa St,,West Palm Beach,FL,33405,Mobile van ballot drop off only - call Supervisor of Elections Office (561) 656-6200 between 8:30a-5p Mon-Fri with questions ,Polls are open 7a-7p -- Van-only locations may or may not follow same hours
Palm Beach,Boca Raton,Yes,https://www.pbcelections.org/Voters/Vote-By-Mail,Mobile Van Dropoff,Sugar Sand Park Community Center,"7am - 7 pm through Sunday, Nov 1",300 S. Military Trl,,Boca Raton,FL,33486,Mobile van ballot drop off only - call Supervisor of Elections Office (561) 656-6200 between 8:30a-5p Mon-Fri with questions ,Polls are open 7a-7p -- Van-only locations may or may not follow same hours
Palm Beach,Boynton Beach,Yes,https://www.pbcelections.org/Voters/Vote-By-Mail,Mobile Van Dropoff,West Boynton Beach Branch Library,"7am - 7 pm through Sunday, Nov 1",9451 Jog Rd,,Boynton Beach,FL,33437,Mobile van ballot drop off only - call Supervisor of Elections Office (561) 656-6200 between 8:30a-5p Mon-Fri with questions ,Polls are open 7a-7p -- Van-only locations may or may not follow same hours
Palm Beach,West Palm Beach,Yes,https://www.pbcelections.org/Voters/Vote-By-Mail,Secure Drop Box,SOE Main Office,"24/7 Thru Sunday, Nov 1",240 S. Military Trl,,West Palm Beach,FL,33415,24/7 Video Monitored Secure Drop Box,
Palm Beach,Palm Beach Gardens,Yes,https://www.pbcelections.org/Voters/Vote-By-Mail,Secure Drop Box,SOE North County Branch Office,"24/7 Thru Sunday, Nov 1","Northeast County Courthouse, 2188 PGA Blvd",RM #2401,Palm Beach Gardens,FL,33410,24/7 Video Monitored Secure Drop Box,
Palm Beach,Delray Beach,Yes,https://www.pbcelections.org/Voters/Vote-By-Mail,Secure Drop Box,SOE South County Branch Office,"24/7 Thru Sunday, Nov 1","Southeast PBC Administrative Complex, 345 S. Congress Ave",,Delray Beach,FL,33445,24/7 Video Monitored Secure Drop Box,
