County,Municipality,Any Locations Found?,URL,Location Type,Location Name,Voting Dates and Times,Address Line 1,Address Line 2,City,State,Zip,Special Rules and Instructions,Questions / Notes
Pinellas,Largo,Yes,https://www.votepinellas.com/Election-Information/Ballot-Drop-off-Locations,Dropoff Location,Starkey Lakes Corporate Center,M-F 8a - 5p; 8a -7p Tue Nov 3,13001 Starkey Road,,Largo,FL,33773,Drive-thru Location,
Pinellas,Clearwater,,https://www.votepinellas.com/Election-Information/Ballot-Drop-off-Locations,Dropoff Location,Pinellas County Courthouse,M-F 8a - 5p; 8a -7p Tue Nov 3,"315 Court St., Room 117",,Clearwater,FL,33756,,
Pinellas,St. Petersburg,Yes,https://www.votepinellas.com/Election-Information/Ballot-Drop-off-Locations,Dropoff Location,County Building,M-F 8a - 5p; 8a -7p Tue Nov 3,"501 First Ave. N, (Fifth St. North entrance)",,St. Petersburg,FL,33701,,
Pinellas,Gulfport,Yes,https://www.votepinellas.com/Election-Information/Ballot-Drop-off-Locations,Dropoff Location,Gulfport Neighborhood Center,"Monday – Friday, 8:00 a.m. – 3:00 p.m. thru Nov 2",1617 49th St. S.,,Gulfport,FL,33707,"Drive-thru Location
No Ballot Drop Off Election Day",
Pinellas,"Palm Harbor",Yes,https://www.votepinellas.com/Election-Information/Ballot-Drop-off-Locations,Dropoff Location,Centre of Palm Harbor,"Monday – Sunday, 7:00 a.m. – 7:00 p.m.
Monday, November 2nd, 8:00 a.m. – 5:00 p.m.",1500 16th St.,,"Palm Harbor",FL,34683,"Drive-thru Location
No Ballot Drop Off Election Day",
Pinellas,Clearwater,Yes,https://www.votepinellas.com/Election-Information/Ballot-Drop-off-Locations,Dropoff Location,EpiCenter at St. Petersburg College,"Monday – Friday, 10:00 a.m. – 5:00 p.m.  thru Nov 2",13805 58th St. N,,Clearwater,FL,33765,"Drive-thru Location
No Ballot Drop Off Election Day",
Pinellas,St Petersburg,Yes,https://www.votepinellas.com/Election-Information/Ballot-Drop-off-Locations,Dropoff Location,Tropicana Field,Monday – Sunday 8:00 a.m. – 5:00 p.m.  thru Nov 2,1 Tropicana Drive,,St Petersburg,FL,33705,"Drive-thru Location
No Ballot Drop Off Election Day
*Weather contingent",
Pinellas,Tarpon Springs,Yes,https://www.votepinellas.com/Election-Information/Ballot-Drop-off-Locations,Dropoff Location,Tarpon Springs Public Library,"Monday – Friday, 10:00 a.m. – 5:00 p.m.  thru Nov 2
Saturday, 10:00 a.m. – 4:00 p.m.",138 E. Lemon St,,Tarpon Springs,FL,34689,No Ballot Drop Off Election Day,
Pinellas,Oldsmar,Yes,https://www.votepinellas.com/Election-Information/Ballot-Drop-off-Locations,Dropoff Location,Oldsmar Public Library,"Monday – Saturday, 9:00 a.m. – 4:00 p.m.  thru Nov 2",400 St. Petersburg Dr. E.,,Oldsmar,FL,34677,No Ballot Drop Off Election Day,
Pinellas,St. Petersburg ,Yes,https://www.votepinellas.com/Election-Information/Ballot-Drop-off-Locations,Dropoff Location,St. Petersburg Main Library,"Monday – Saturday, 10:00 a.m. – 4:00 p.m. thru Nov 2",3745 9th Ave. N.,,St. Petersburg ,FL,33713,No Ballot Drop Off Election Day,
Pinellas,"Palm Harbor",Yes,https://www.votepinellas.com/Election-Information/Ballot-Drop-off-Locations,Dropoff Location,East Lake Community Library,"Monday – Saturday, 10:00 a.m. – 4:00 p.m. thru Nov 2",4125 East Lake Rd.,,"Palm Harbor",FL,34685,No Ballot Drop Off Election Day,
Pinellas,Clearwater,Yes,https://www.votepinellas.com/Election-Information/Ballot-Drop-off-Locations,Dropoff Location,Gulf to Bay Tax Collector Office,"Monday – Friday, 8:00 a.m. – 5:00 p.m. thru Nov 2",1663 Gulf to Bay Blvd.,,Clearwater,FL,33756,No Ballot Drop Off Election Day,
