County,Raw Address,Notes,Name,source
Appling,83 South Oak Street Baxley GA 31513,,,https://georgiapeanutgallery.org/2020/09/28/drop-box-locations-for-november-3-2020-election/
Appling,Appling County Courthouse Annex building,,Appling County Courthouse Annex building,https://georgiapeanutgallery.org/2020/09/28/drop-box-locations-for-november-3-2020-election/
Atkinson,"636 Austin Ave, East Pearson GA 31642",,,https://georgiapeanutgallery.org/2020/09/28/drop-box-locations-for-november-3-2020-election/
Bacon,"232 W 12th Street, Alma GA 31510",,,https://georgiapeanutgallery.org/2020/09/28/drop-box-locations-for-november-3-2020-election/
Baker,"    167 Baker Place, Newton GA 39870",,,https://georgiapeanutgallery.org/2020/09/28/drop-box-locations-for-november-3-2020-election/
Baldwin,"121 N Wilkinson St, Suite 102 Milledgeville GA 31061",    In front of the Courthouse,,https://georgiapeanutgallery.org/2020/09/28/drop-box-locations-for-november-3-2020-election/
Baldwin,"1601 North Columbia Street, Milledgeville GA 31061",,,https://georgiapeanutgallery.org/2020/09/28/drop-box-locations-for-november-3-2020-election/
Banks,"    226 Candler St., Homer, GA 30547",,,https://georgiapeanutgallery.org/2020/09/28/drop-box-locations-for-november-3-2020-election/
Barrow,"    233 E. Broad St, Winder GA 30680",,,https://georgiapeanutgallery.org/2020/09/28/drop-box-locations-for-november-3-2020-election/
Bartow,"135 W. Cherokee Ave., Cartersville, GA 30120",    Located on the sidewalk in front of the front door.,Bartow County Courthouse,https://georgiapeanutgallery.org/2020/09/28/drop-box-locations-for-november-3-2020-election/
Bartow,"1300 Joe Frank Harris Pkwy., Cartersville, GA 30120",    Mail slot in front door.,Bartow County Board of Elections and Voter Registration,https://georgiapeanutgallery.org/2020/09/28/drop-box-locations-for-november-3-2020-election/
Bartow,"6503 Glade Rd., Acworth, GA 30102",    Located on the sidewalk to the right of the building.,Allatoona Resource Center,https://georgiapeanutgallery.org/2020/09/28/drop-box-locations-for-november-3-2020-election/
Bartow,"30 Burges Mill Rd., Euharlee, GA 30145",    Located on the sidewalk to the right of the building.,Euharlee City Hall,https://georgiapeanutgallery.org/2020/09/28/drop-box-locations-for-november-3-2020-election/
Bartow,"163-B Manning Mill Road, Adairsville, GA 30103",,Manning Mill Gym,https://georgiapeanutgallery.org/2020/09/28/drop-box-locations-for-november-3-2020-election/
Ben Hill,115 W Pine St Fitzgerald Ga 31750,,,https://georgiapeanutgallery.org/2020/09/28/drop-box-locations-for-november-3-2020-election/
Berrien,"201 N Davis St, Room 142 Nashville,Ga 31639",,,https://georgiapeanutgallery.org/2020/09/28/drop-box-locations-for-november-3-2020-election/
