"state","county","address","phone","date verified","Website","Interesting fact outside scope","Hours of Operation"
"PA","Adams County","117 Baltimore Street
Gettysburg, PA 17325-2313","(717) 337-9832",2020-08-16,NA,NA,NA
"PA","Allegheny County","542 Forbes Ave., Suite 604
Pittsburgh, PA 15219-2953","(412) 350-4500",2020-08-16,"https://www.alleghenycounty.us/elections/contact/contact.aspx",NA,"NA"
"PA","Armstrong County","Courthouse Administration Building
450 Market Street, Suite 207
Kittanning, PA 16201","(724) 548-3222",2020-09-08,"https://www.co.armstrong.pa.us/index.php/departments-m/elections-voters-registration-m",NA,"NA"
"PA","Beaver County","810 Third St.
Beaver, PA 15009","(724) 770-4440",2020-08-16,NA,NA,NA
"PA","Bedford County","200 S. Juliana Street
Bedford, PA 15522","(814) 623-4807",2020-08-16,"http://www.bedfordcountypa.org/departments/elections/election_applications.php",NA,"The Bedford County Courthouse is open Monday-Friday 8:30 a.m. to 4:30 p.m. and Closed on Holidays."
"PA","Berks County","633 Court St., 1st Floor
Reading, PA 19601","(610) 478-6490",2020-08-16,NA,NA,NA
"PA","Blair County","423 Allegheny St., Suite 047
Hollidaysburg, PA 16648-9978","(814) 693-3150",2020-08-16,NA,NA,NA
"PA","Bradford County","6 Court St., Ste. 2
Towanda, PA 18848","(570) 265-1717",2020-08-16,"https://bradfordcountypa.org/department/elections/",NA,"Monday-Friday
9:00 AM to 5:00 PM"
"PA","Bucks County","55 E. Court St.
Doylestown, PA 18901","(215) 348-6154",2020-08-16,NA,NA,NA
"PA","Butler County","124 W Diamond Street
Floor LL
Butler, PA 16003","(724) 284-5308",2020-09-08,"https://www.butlercountypa.gov/160/Bureau-of-Elections","General election information coming sooner","NA"
"PA","Cambria County","200 S. Center St.
Ebensburg, PA 15931","(814) 472-1464",2020-09-08,"https://www.cambriacountypa.gov/election-and-voter-registration.aspx","***CAMBRIA COUNTY WILL NOT HAVE DROP OFF BOXES***","Monday - Friday
9 a.m. to 4 p.m."
"PA","Cameron County","20 E. 5th St.
Emporium, PA 15834","(814) 486-2315",2020-08-16,"NA","possible universal source: http://www.cameroncountypa.com/PADOS_MailinApplication.pdf",NA
"PA","Carbon County","76 Susquehanna St., PO Box 170
Jim Thorpe, PA 18229","(570) 325-4801",2020-08-16,"https://www.carboncounty.com/index.php/2-uncategorised/60-elections","No Address","Office hours are 8:30 a.m. to 4:30 p.m. except election days which we are open from 6:00 a.m. until all election materials are returned from the polling places and votes are tallied. These are the salient deadlines for this office."
"PA","Centre County","420 Holmes St.
Bellefonte, PA 16823-1488","(814) 355-6703",2020-08-16,"http://centrecountypa.gov/238/Elections-Voter-Registration",NA,"Monday through Friday
8:30 a.m. to 5 p.m."
