County,Location,Drop-Off Location?,Vote-Early Location?,Street Address 1,Street Address 2,City,Zip
Adams,Adams County Board of Elections,TRUE,FALSE,​117 Baltimore Street,,Gettysburg,17325
Allegheny,Allegheny County Board of Elections,FALSE,TRUE,542 Forbes Avenue,,Pittsburgh,15219
Allegheny,Allegheny County Board of Elections,TRUE,FALSE,542 Forbes Avenue,,Pittsburgh,15219
Allegheny,Allegheny North Park Ice Rink,FALSE,TRUE,1200 Pearce Mill Road,,Wexford,15090
Allegheny,Allegheny North Park Ice Rink,TRUE,FALSE,1200 Pearce Mill Road,,Wexford,15090
Allegheny,Allegheny South Park Ice Rink,FALSE,TRUE,30 Corrigan Drive,,Bethel Park,15102
Allegheny,Allegheny South Park Ice Rink,TRUE,FALSE,30 Corrigan Drive,,Bethel Park,15102
Allegheny,Allegheny DPW Garage #2,FALSE,TRUE,1040 Campbells Run Road,,Carnegie,15106
Allegheny,Allegheny DPW Garage #2,TRUE,FALSE,1040 Campbells Run Road,,Carnegie,15106
Allegheny,Allegheny CCAC Homewood,FALSE,TRUE,701 N. Homewood Avenue,,Pittsburgh,15208
Allegheny,Allegheny CCAC Homewood,TRUE,FALSE,701 N. Homewood Avenue,,Pittsburgh,15208
Allegheny,Allegheny CCAC South,FALSE,TRUE,1750 Clairton Road,,West Mifflin,15122
Allegheny,Allegheny CCAC South,TRUE,FALSE,1750 Clairton Road,,West Mifflin,15122
Allegheny,Allegheny Boyce Park Ski Lodge,FALSE,TRUE,901 Centerview Drive,,Plum,15239
Allegheny,Allegheny Boyce Park Ski Lodge,TRUE,FALSE,901 Centerview Drive,,Plum,15239
Allegheny,Allegheny Shop 'n Save Hill District,FALSE,TRUE,125 Virginia Avenue,,Pittsburgh,15211
Allegheny,Allegheny Shop 'n Save Hill District,TRUE,FALSE,125 Virginia Avenue,,Pittsburgh,15211
Allegheny,CCAC Allegheny,FALSE,TRUE,808 Ridge Avenue,,Pittsburgh,15212
Allegheny,CCAC Allegheny,TRUE,FALSE,808 Ridge Avenue,,Pittsburgh,15212
Armstrong,Armstrong County Board of Elections,FALSE,TRUE,450 Market Street,Suite 207,Kittanning,16201
Armstrong,Armstrong County Board of Elections,TRUE,FALSE,450 Market Street,Suite 207,Kittanning,16201
Beaver,Beaver County Board of Elections,FALSE,TRUE,810 Third Street,,Beaver,15009
Beaver,Beaver County Board of Elections,TRUE,FALSE,810 Third Street,,Beaver,15009
Bedford,Bedford County Board of Elections,FALSE,TRUE,200 S Juliana St,Suite 300,Bedford,15522
Bedford,Bedford County Board of Elections,TRUE,FALSE,200 S Juliana St,Suite 300,Bedford,15522
Berks,Berks County Board of Elections,FALSE,TRUE,633 Court Street,1st Floor,Reading,19601
Berks,Berks County Board of Elections,TRUE,FALSE,633 Court Street,1st Floor,Reading,19601
Blair,Blair County Board of Elections,FALSE,TRUE,423 Allegheny Street,Suite 43,Hollidaysburg,16648
Blair,Blair County Board of Elections,TRUE,FALSE,423 Allegheny Street,Suite 43,Hollidaysburg,16648
Bradford,Bradford County Board of Elections,FALSE,TRUE,6 Court Street,Suite 2,Towanda,18848
Bradford,Bradford County Board of Elections,TRUE,FALSE,6 Court Street,Suite 2,Towanda,18848
Bucks,Bucks County Administration Building,FALSE,TRUE,55 E. Court St.,,Doylestown,18901
Bucks,Bucks County Administration Building,TRUE,FALSE,55 E. Court St.,,Doylestown,18901
Bucks,Lower Bucks Government Services Center,FALSE,TRUE,7321 New Falls Road,,Levittown,19055
Bucks,Lower Bucks Government Services Center,TRUE,FALSE,7321 New Falls Road,,Levittown,19055
Bucks,Upper Bucks Government Center,FALSE,TRUE,261 California Rd.,,Quakertown,18951
Bucks,Upper Bucks Government Center,TRUE,FALSE,261 California Rd.,,Quakertown,18951
Butler,Butler County Board of Elections,FALSE,TRUE,124 W Diamond Street,,Butler,16001
Butler,Butler County Board of Elections,TRUE,FALSE,124 W Diamond Street,,Butler,16001
Cambria,Cambria County Board of Elections,FALSE,TRUE,200 South Center Street,,Ebensberg,15931
Cambria,Cambria County Board of Elections,TRUE,FALSE,200 South Center Street,,Ebensberg,15931
Cameron,Cameron County Board of Elections,FALSE,TRUE,20 E. 5th St.,,Emporium,15834
Cameron,Cameron County Board of Elections,TRUE,FALSE,20 E. 5th St.,,Emporium,15834
Carbon,Carbon County Board of Elections,FALSE,TRUE,76 Susquehanna St.,,Jim Thorpe,18229
Carbon,Carbon County Board of Elections,TRUE,FALSE,76 Susquehanna St.,,Jim Thorpe,18229
Centre,Willowbank Office Building,TRUE,FALSE,420 Holmes Street,,Bellefonte,16823
Centre,Patton Township Municipal Building,TRUE,FALSE,100 Patton Plaza,,State College,16803
Centre,Ferguson Township Municipal Building,TRUE,FALSE,3147 Research Drive,,State College,16801
Centre,State College Borough Municipal Building,TRUE,FALSE,243 South Allen Street,,State College,16801
Centre,Spring Township Municipal Building,TRUE,FALSE,1309 Blanchard Street,,Bellefonte,16823
Centre,Magisterial District Office 49-3-03,TRUE,FALSE,118 Enterprise Drive,,Phillipsburg,16866
Centre,Magisterial District Office 49-3-04,TRUE,FALSE,2795 Earlystown Road,,Central Hall,16828
Centre,HUB-Robeson Center,TRUE,FALSE,100 Pollock Road,,University Park,16802
Chester,Chester County Government Services Center,FALSE,TRUE,601 Westtown Rd,Suite 150,West Chester,19380
Chester,Chester County Government Services Center,TRUE,FALSE,601 Westtown Rd,Suite 150,West Chester,19380
Chester,Avon Grove Library,TRUE,FALSE,117 Rosehill Avenue,,West Grove,19390
Chester,Chester County Library,TRUE,FALSE,450 Exton Square Parkway,,Exton,19341
Chester,Coatesville Area Public Library,TRUE,FALSE,501 E. Lincoln Highway,,Coatesville,19320
Chester,Downington Library,TRUE,FALSE,122 Wallace Avenue,,Downington,19335
Chester,Easttown Library & Information Center,TRUE,FALSE,720 First Avenue,,Berwyn,19312
Chester,Honey Brook Community Library,TRUE,FALSE,687 Compass Road,,Honey Brook,19344
Chester,Kennett Library,TRUE,FALSE,216 State Street,,Kennett Square,19348
Chester,Phoenixville Public Library,TRUE,FALSE,183 2nd Avenue,,Phoenixville,19460
Chester,Parkesburg Free Library,TRUE,FALSE,105 West Street,,Parkesburg,19365
Chester,Spring City Free Library,TRUE,FALSE,245 Broad Street,,Spring City,19475
Chester,Henrietta Hankin Library,FALSE,TRUE,215 Windgate Dr.,,Chester Springs,19425
Chester,Henrietta Hankin Library,TRUE,FALSE,215 Windgate Dr.,,Chester Springs,19425
Chester,Oxford Library Company,FALSE,TRUE,48 S 2nd Street,,Oxford,19425
Chester,Oxford Library Company,TRUE,FALSE,48 S 2nd Street,,Oxford,19425
Clarion,Clarion County Board of Elections,FALSE,TRUE,330 Main Street,,Clarion,16214
Clarion,Clarion County Board of Elections,TRUE,FALSE,330 Main Street,,Clarion,16214
Clearfield,Clearfield County Board of Elections,FALSE,TRUE,212 East Locust Street,,Clearfield,16830
Clearfield,Clearfield County Board of Elections,TRUE,FALSE,212 East Locust Street,,Clearfield,16830
Clinton,Clinton County Board of Elections,FALSE,TRUE,2 Piper Way,Suite 309,Lock Haven,17745
Clinton,Clinton County Board of Elections,TRUE,FALSE,2 Piper Way,Suite 309,Lock Haven,17745
Columbia,Columbia County Board of Elections,FALSE,TRUE,11 W. Main Street,,Bloomsburg,17815
Columbia,Columbia County Board of Elections,TRUE,FALSE,11 W. Main Street,,Bloomsburg,17815
Crawford,Crawford County Board of Elections,FALSE,TRUE,903 Diamond Park,,Meadville,16335
Crawford,Crawford County Board of Elections,TRUE,FALSE,903 Diamond Park,,Meadville,16335
Cumberland,Cumberland County Board of Elections,FALSE,TRUE,1601 Ritner Highway,,Carlisle,17013
Cumberland,Cumberland County Board of Elections,TRUE,FALSE,1601 Ritner Highway,,Carlisle,17013
Dauphin,Dauphin County Board of Elections,FALSE,TRUE,2 S. 2nd St.,,Harrisburg,17108
Dauphin,Dauphin County Board of Elections,TRUE,FALSE,2 S. 2nd St.,,Harrisburg,17108
Delaware,Delaware County Board of Elections,FALSE,TRUE,201 W. Front St.,,Media,19063
Delaware,Delaware County Board of Elections,TRUE,FALSE,201 W. Front St.,,Media,19063
Delaware,Delaware County Department of Human Services,FALSE,TRUE,20 S. 69th Street,4th Fl.,Upper Darby,19082
Delaware,Delaware County Department of Human Services,TRUE,FALSE,20 S. 69th Street,4th Fl.,Upper Darby,19082
Delaware,Chester City Hall,FALSE,TRUE,1 E 4th St.,,Chester,19013
Delaware,Chester City Hall,TRUE,FALSE,1 E 4th St.,,Chester,19013
Elk,Elk County Board of Elections,FALSE,TRUE,300 Center St.,,Ridgway,15853
Elk,Elk County Board of Elections,TRUE,FALSE,300 Center St.,,Ridgway,15853
Erie,Erie County Board of Elections,FALSE,TRUE,140 W. 6th St.,Rm. 112,Erie,16501
Erie,Erie County Board of Elections,TRUE,FALSE,140 W. 6th St.,Rm. 112,Erie,16501
Fayette,Fayette County Board of Elections,FALSE,TRUE,22 E. Main St.,,Uniontown,15401
Fayette,Fayette County Board of Elections,TRUE,FALSE,22 E. Main St.,,Uniontown,15401
