state,state_abbreviation,county,zip,name,address,city,schedule,notes,phone,county website,type
Pennsylvannia,PA,Adams,17325,Adams County Board of Elections,117 Baltimore Street ,Gettysburg,8:00a.m. Ð 4:30p.m. Monday - Friday,,(717) 337-9832,http://www.adamscounty.us/Dept/ElectVoteReg/Pages/default.aspx,clerk
Pennsylvannia,PA,Allegheny,15219,Allegheny County Board of Elections,542 Forbes Avenue ,Pittsburgh,"Now to November 2nd: 8 AM to 8 PM, On Election Day: 7 AM to 8 PM",,(412) 350-4500,https://alleghenyvotes.com/ballot-return/,clerk
Pennsylvannia,PA,Armstrong,16201,Armstrong County Board of Elections,"450 Market Street ,Suite 207",Kittanning,NA,,(724) 548-3222,https://www.co.armstrong.pa.us/index.php/departments-m/elections-voters-registration-m,clerk
Pennsylvannia,PA,Armstrong,16201,Armstrong County Board of Elections,"450 Market Street, 1st floor by the receptionist desk",Kittanning,8 AM to 4:30 PM Monday - Friday,,(724) 548-3222,https://www.co.armstrong.pa.us/index.php/departments-m/elections-voters-registration-m,dropbox
Pennsylvannia,PA,Beaver,15009,Beaver County Board of Elections,810 Third Street ,Beaver,8:30 A.M. - 4:30 P.M.,,(724) 770-4440,http://www.beavercountypa.gov/Depts/Elections/Pages/default.aspx,clerk
Pennsylvannia,PA,Bedford,15522,Bedford County Board of Elections,"200 S Juliana St ,Suite 300",Bedford,Courthouse is open Monday-Friday 8:30 a.m. to 4:30 p.m. and Closed on Holidays,,(814) 623-4807,http://www.bedfordcountypa.org/departments/elections/election_applications.php,clerk
Pennsylvannia,PA,Berks,19601,Berks County Board of Elections,"633 Court Street ,Main Entrance Lobby",Reading,"Monday Oct. 19 to Wednesday Oct. 21: 8 AM - 5 PM., Thursday Oct. 22 - Friday Oct. 23: 8 AM - 7 PM, Saturday Oct. 24: 8 AM - 12 PM, Monday Oct. 26 - Wednesday Oct. 28: 8 AM - 5 PM, Thursday Oct. 29 - Friday Oct. 30: 8 AM - 7 PM, Monday Nov. 2: 8 AM - 5 PM, Tue. November 3: 8AM - 8PM ",,(610) 478-6490,https://www.co.berks.pa.us/Dept/Elections/Pages/default.aspx,dropbox
Pennsylvannia,PA,Berks,19533,"County of Berks, Agricultural Center",1238 County Welfare Road,Leesport,"Monday Oct. 19 to Wednesday Oct. 21: 8 AM - 5 PM., Thursday Oct. 22 - Friday Oct. 23: 8 AM - 7 PM, Saturday Oct. 24: 8 AM - 12 PM, Monday Oct. 26 - Wednesday Oct. 28: 8 AM - 5 PM, Thursday Oct. 29 - Friday Oct. 30: 8 AM - 7 PM, Monday Nov. 2: 8 AM - 5 PM, Tue. November 3: 8AM - 8PM ",,(610) 478-6490,https://www.co.berks.pa.us/Dept/Elections/Pages/default.aspx,dropbox
Pennsylvannia,PA,Blair,16648,Blair County Board of Elections,"423 Allegheny Street ,Suite 43",Hollidaysburg,NA,,(814) 693-3150,http://www.blairco.org/Dept/Elections/Pages/default.aspx,clerk
Pennsylvannia,PA,Bradford,18848,Bradford County Board of Elections,"6 Court Street ,Suite 2",Towanda,Monday-Friday 9:00 AM to 5:00 PM,,(570) 265-1717,https://bradfordcountypa.org/department/elections/,clerk
