STATE OF WISCONSIN,,,WI_R_ELE_CO-CLRK
,,,8/7/2020 10:34:36 AM
,County Clerks,,
County,Clerk Contact Information,Web Site,Last Update
ADAMS COUNTY - 01,COUNTY CLERK: CHERYL KROENING,https://www.co.adams.wi.us/,3/21/2019
,COUNTY DEPUTY CLERK: LIANA GLAVIN,,
,"MUNICIPAL ADDRESS :400 MAIN ST, FRIENDSHIP,",,
,WI 53934-8014,,
,"MAILING ADDRESS :PO BOX 278, FRIENDSHIP, WI",,
,53934-0278,,
,Phone 1: (608)339-4556,,
,Phone 2: (608)339-4200,,
,Fax: (608)339-4514,,
ASHLAND COUNTY - 02,COUNTY CLERK: HEATHER SCHUTTE,https://co.ashland.wi.us/,10/23/2018
,COUNTY DEPUTY CLERK: KAREN POLENCHECK,,
,"MUNICIPAL ADDRESS :201 MAIN ST W RM 202,",,
,"ASHLAND, WI 54806-1652",,
,"MAILING ADDRESS :201 MAIN ST W RM 202,",,
,"ASHLAND, WI 54806-1652",,
,Phone 1: (715)682-7000 EXT 713,,
,Phone 2: (715)682-7000 EXT 711,,
,Fax: (715)682-7032,,
BARRON COUNTY - 03,COUNTY CLERK: DEEANN COOK,https://www.barroncountywi.gov/,10/24/2017
,COUNTY DEPUTY CLERK: JESSICA HODEK,,
,MUNICIPAL ADDRESS :335 E MONROE AVE RM,,
,"2130, BARRON, WI 54812-1482",,
,"MAILING ADDRESS :335 E MONROE AVE RM 2130,",,
,"BARRON, WI 54812-1482",,
,Phone 1: (715)537-6200,,
,Fax: (715)537-6820,,
BAYFIELD COUNTY - 04,COUNTY CLERK: SCOTT FIBERT,https://www.bayfieldcounty.org/,2/13/2020
,COUNTY DEPUTY CLERK: ALLISON RADKE,,
,"MUNICIPAL ADDRESS :117 E 5TH ST, WASHBURN,",,
,WI 54891-4522,,
,"MAILING ADDRESS :117 E 5TH ST, WASHBURN, WI",,
,54891-4522,,
,Phone 1: (715)373-6100,,
BROWN COUNTY - 05,COUNTY CLERK: SANDY L JUNO,https://www.browncountywi.gov/,5/22/2018
,COUNTY DEPUTY CLERK: JULIO GARCIA,,
,"MUNICIPAL ADDRESS :305 E WALNUT ST RM 120,",,
,"GREEN BAY, WI 54301-5027",,
,"MAILING ADDRESS :PO BOX 23600, GREEN BAY,",,
,WI 54301,,
Printed 8/7/2020 10:34:36 AM,,,Page 1 of 17
STATE OF WISCONSIN,,,WI_R_ELE_CO-CLRK
,,,8/7/2020 10:34:36 AM
,County Clerks,,
County,Clerk Contact Information,Web Site,Last Update
,Phone 1: (920)448-4019,,
,Phone 2: (920)448-4016,,
,Fax: (920)448-4498,,
BUFFALO COUNTY - 06,COUNTY CLERK: ROXANN HALVERSON,https://www.buffalocounty.com/,10/25/2019
,COUNTY DEPUTY CLERK: LISA SCHMITT,,
,"MUNICIPAL ADDRESS :407 S 2ND ST, ALMA, WI",,
,54610-9715,,
,"MAILING ADDRESS :P.O. BOX 58, ALMA, WI 54610",,
,Phone 1: (608)685-6209,,
,Fax: (608)685-6213,,
BURNETT COUNTY - 07,COUNTY CLERK: WANDA HINRICHS,http://www.burnettcounty.com/,3/31/2017
,COUNTY DEPUTY CLERK: KIM JOHNSON,,
,MUNICIPAL ADDRESS :7410 COUNTY ROAD K STE,,
,"105, SIREN, WI 54872-9067",,
,MAILING ADDRESS :7410 COUNTY ROAD K STE,,
,"105, SIREN, WI 54872-9067",,
,Phone 1: (715)349-2173,,
,Fax: (715)349-2169,,
CALUMET COUNTY - 08,COUNTY CLERK: BETH HAUSER,http://www.co.calumet.wi.us/,5/16/2019
,COUNTY DEPUTY CLERK: CHERYL HELLER,,
,"MUNICIPAL ADDRESS :206 COURT ST, CHILTON,",,
,WI 53014-1127,,
,"MAILING ADDRESS :206 COURT ST, CHILTON, WI",,
,53014-1127,,
,Phone 1: (920)849-1458,,
,Fax: (920)849-1469,,
CHIPPEWA COUNTY - 09,COUNTY CLERK: JACLYN SADLER,https://www.co.chippewa.wi.us/,5/18/2017
,COUNTY DEPUTY CLERK: LISA MERRELL,,
,"MUNICIPAL ADDRESS :711 N BRIDGE ST RM 109,",,
,"CHIPPEWA FLS, WI 54729-1845",,
,"MAILING ADDRESS :711 N BRIDGE ST RM 109,",,
,CHIPPEWA FLS WI 54729-1845,,
,Phone 1: (715)726-7985,,
,Fax: (715)726-7987,,
CLARK COUNTY - 10,COUNTY CLERK: CHRISTINA JENSEN,http://www.co.clark.wi.us/,6/28/2016
Printed 8/7/2020 10:34:36 AM,,,Page 2 of 17
STATE OF WISCONSIN,,,WI_R_ELE_CO-CLRK
,,,8/7/2020 10:34:36 AM
,County Clerks,,
County,Clerk Contact Information,Web Site,Last Update
,COUNTY DEPUTY CLERK: GAYLE VATNE,,
,"MUNICIPAL ADDRESS :517 COURT ST RM 301,",,
,"NEILLSVILLE, WI 54456-1902",,
,"MAILING ADDRESS :517 COURT ST RM 301,",,
,"NEILLSVILLE, WI 54456-1902",,
,Phone 1: (715)743-5148,,
,Fax: (715)743-5154,,
COLUMBIA COUNTY - 11,COUNTY CLERK: SUE MOLL,http://www.co.columbia.wi.us/,5/30/2017
,COUNTY DEPUTY CLERK: SHANNA HERRICK,,
,MUNICIPAL ADDRESS :112 EAST EDGEWATER,,
,"STREET, PORTAGE, WI 53901",,
,MAILING ADDRESS :112 EAST EDGEWATER,,
