STATE OF WISCONSIN,,,WI_R_ELE_MUNICLRK,
,,,8/7/2020 10:35:34 AM,
,,Municipal Clerks,,
Municipality,HINDI,Clerk Contact Information,Web Site,Last Updated
ADAMS COUNTY,,,,
TOWN OF ADAMS -,1002,CLERK: MIRANDA CHRISTENSEN,http://townofadamswi.com/,10/16/2019
ADAMS COUNTY,,,,
,,DEPUTY CLERK: KAREN K CHURCH,,
,,"Municipal Address :1980 11TH AVE, FRIENDSHIP,",,
,,WI 53934-9005,,
,,"Mailing Address :PO BOX 801, FRIENDSHIP, WI",,
,,53934-0801 ,,
,,Phone 1: (608)339-9607,,
,,Phone 2: (608)432-9597,,
,,Fax: (608)339-3017,,
TOWN OF BIG FLATS -,1004,CLERK: MARY O'NEIL,http://bigflatswi.com/,1/19/2018
ADAMS COUNTY,,,,
,,"Municipal Address :1104 COUNTY ROAD C,",,
,,"ARKDALE, WI 54613-9728",,
,,"Mailing Address :1104 COUNTY ROAD C,",,
,,"ARKDALE, WI 54613-9728 ",,
,,Phone 1: (608)547-1864,,
TOWN OF COLBURN -,1006,CLERK: TERRI L HORACEK,,9/24/2018
ADAMS COUNTY,,,,
,,"Municipal Address :198 County RD C, Hancock, WI",,
,,54943,,
,,"Mailing Address :592 BIGHORN AVE, HANCOCK,",,
,,WI 54943-9536 ,,
,,Phone 1: (715)249-5998,,
,,Phone 2: (715)459-8685,,
TOWN OF DELL PRAIRIE,1008,CLERK: JONI GEHRKE,,1/23/2020
- ADAMS COUNTY,,,,
,,"Municipal Address :763 COUNTY ROAD K, WISC",,
,,"DELLS, WI 53965-8981",,
,,"Mailing Address :763 COUNTY ROAD K, WISC",,
,,"DELLS, WI 53965-8981 ",,
,,Phone 1: (608)254-2618,,
,,Phone 2: (608)432-4375,,
,,Fax: (608)254-2618,,
TOWN OF EASTON -,1010,CLERK: ANGELA LOCHNER,,1/26/2018
ADAMS COUNTY,,,,
,,"Municipal Address :1163 COUNTY ROAD A,",,
,,"ADAMS, WI 53910-9784",,
,,"Mailing Address :935 COUNTY ROAD E, ADAMS,",,
,,WI 53910 ,,
,,Phone 1: (608)576-5953,,
Printed 8/7/2020 10:35:34 AM,,,,Page 1 of 402
STATE OF WISCONSIN,,,WI_R_ELE_MUNICLRK,
,,,8/7/2020 10:35:34 AM,
,,Municipal Clerks,,
Municipality,HINDI,Clerk Contact Information,Web Site,Last Updated
TOWN OF JACKSON -,1012,CLERK: CANDACE PEGLER,https://townofjackson.us/,6/18/2018
ADAMS COUNTY,,,,
,,"Municipal Address :398 STATE ROAD 82,",,
,,"OXFORD, WI 53952",,
,,"Mailing Address :316 FISH CT, OXFORD, WI",,
,,53952-9657 ,,
,,Phone 1: (608)586-6391,,
,,Phone 2: (608)697-2301,,
,,Fax: (608)586-6391,,
TOWN OF LEOLA -,1014,CLERK: NANCY GASPERIC,http://www.tn.leola.wi.gov/,7/16/2018
ADAMS COUNTY,,,,
,,"Municipal Address :172 ANIWA LN, PLAINFIELD,",,
,,WI 54966-9587,,
,,"Mailing Address :127 APACHE LN, PLAINFIELD,",,
,,WI 54966-9587 ,,
,,Phone 1: (715)335-4732,,
,,Fax: (715)335-4732,,
TOWN OF LINCOLN -,1016,CLERK: PATTI NELSON,,3/19/2019
ADAMS COUNTY,,,,
,,DEPUTY CLERK: KAREN K CHURCH,,
,,"Municipal Address :2181 COUNTY ROAD G,",,
,,"GRAND MARSH, WI 53936-9641",,
,,"Mailing Address :2205 4TH DR, WESTFIELD, WI",,
,,53964-9226 ,,
,,Phone 1: (608)844-4856,,
,,Phone 2: (608)477-0514,,
TOWN OF MONROE -,1018,CLERK: DARLENE FERGUSON,,3/18/2016
ADAMS COUNTY,,,,
,,"Municipal Address :981 COUNTY ROAD Z,",,
,,"ARKDALE, WI 54613-7701",,
,,"Mailing Address :981 COUNTY ROAD Z,",,
,,"ARKDALE, WI 54613-7701 ",,
,,Phone 1: (608)564-7271,,
,,Phone 2: (414)559-3974,,
,,Fax: (608)564-2283,,
TOWN OF NEW,1020,CLERK: LAURA SOLIS,,1/3/2018
CHESTER - ADAMS,,,,
,,"Municipal Address :629 MASON ST, GRAND",,
COUNTY,,"MARSH, WI 53936-9576",,
,,"Mailing Address :PO BOX 69, GRAND MARSH, WI",,
,,53936-0069 ,,
,,Phone 1: (608)472-6182,,
Printed 8/7/2020 10:35:34 AM,,,,Page 2 of 402
STATE OF WISCONSIN,,,WI_R_ELE_MUNICLRK,
,,,8/7/2020 10:35:34 AM,
,,Municipal Clerks,,
Municipality,HINDI,Clerk Contact Information,Web Site,Last Updated
TOWN OF NEW HAVEN -,1022,CLERK: KEN CROTHERS,https://www.newhavenwi.us/,4/29/2019
ADAMS COUNTY,,,,
,,"Municipal Address :330 GOLDEN CT, WISC",,
,,"DELLS, WI 53965-8616",,
,,"Mailing Address :3890 COUNTY ROAD G, WISC",,
,,"DELLS, WI 53965-8621 ",,
,,Phone 1: (608)253-4064,,
TOWN OF PRESTON -,1024,CLERK: SCOTT SORENSEN,,1/19/2018
ADAMS COUNTY,,,,
,,"Municipal Address :1801 11TH AVE, FRIENDSHIP,",,
,,WI 53934-9724,,
,,"Mailing Address :1739 11TH AVE, FRIENDSHIP,",,
,,WI 53934-9724 ,,
,,Phone 1: (608)339-6298,,
TOWN OF QUINCY -,1026,CLERK: KATHY BORK,,5/18/2020
ADAMS COUNTY,,,,
,,"Municipal Address :2599 COUNTY ROAD Z,",,
,,"FRIENDSHIP, WI 53934-9617",,
,,"Mailing Address :2599 COUNTY ROAD Z,",,
,,"FRIENDSHIP, WI 53934-9617 ",,
,,Phone 1: (608)339-7230,,
,,Fax: (920)339-7230,,
TOWN OF RICHFIELD -,1028,CLERK: TANYA BURROWS,,11/30/2017
ADAMS COUNTY,,,,
,,"Municipal Address :1602 COUNTY ROAD G,",,
,,"COLOMA, WI 54930-9457",,
,,"Mailing Address :153 CUMBERLAND AVE,",,
,,"COLOMA, WI 54930-9457 ",,
,,Phone 1: (715)323-6868,,
,,Phone 2: (715)228-2212,,
TOWN OF ROME -,1030,CLERK: AMY REUTEMAN,http://townofrome.com/,12/14/2018
ADAMS COUNTY,,,,
,,DEPUTY CLERK: WENDY NEWSON,,
,,"Municipal Address :1156 ALPINE DR, NEKOOSA,",,
,,WI 54457-8616,,
,,"Mailing Address :1156 ALPINE DR, NEKOOSA, WI",,
,,54457-8616 ,,
,,Phone 1: (715)325-8022,,
,,Fax: (715)325-8035,,
Printed 8/7/2020 10:35:34 AM,,,,Page 3 of 402
STATE OF WISCONSIN,,,WI_R_ELE_MUNICLRK,
,,,8/7/2020 10:35:34 AM,
,,Municipal Clerks,,
Municipality,HINDI,Clerk Contact Information,Web Site,Last Updated
TOWN OF SPRINGVILLE,1032,CLERK: FREDRIKA DETTLAFF,,10/24/2017
- ADAMS COUNTY,,,,
,,"Municipal Address :3143 STATE HIGHWAY 13,",,
,,"WISC DELLS, WI 53965-8925",,
,,"Mailing Address :1003 Fur Ave, Wisc Dells, WI",,
,,53965-8925 ,,
,,Phone 1: (608)678-7950,,
,,Phone 2: (608)607-5503,,
TOWN OF STRONGS,1034,CLERK: LORI HENTHORNE,,11/2/2017
PRAIRIE - ADAMS,,,,
,,"Municipal Address :1588 STATE HWY 21,",,
COUNTY,,"ARKDALE, WI 54613",,
,,"Mailing Address :PO BOX 69, ARKDALE, WI 54613",,
,,-0069 ,,
,,Phone 1: (608)564-7626,,
VILLAGE OF,1126,CLERK: LINDA HOGAN,,9/16/2019
FRIENDSHIP - ADAMS,,,,
,,DEPUTY CLERK: MACY KUHNKE,,
COUNTY,,,,
,,"Municipal Address :507 W LAKE ST, FRIENDSHIP,",,
,,WI 53934-9301,,
,,"Mailing Address :PO BOX 206, FRIENDSHIP, WI",,
,,53934-0206 ,,
,,Phone 1: (608)339-3243 EXT 2,,
,,Phone 2: (608)339-3243 EXT 1,,
,,Fax: (608)339-4763,,
