City of Brookfield,Waukesha County,2000 N. Calhoun Road,Brookfield,53005,24/7 ,(262) 782-9650,,,,http://www.ci.brookfield.wi.us/DocumentCenter/View/16623/Map-View-of-Drop-Box-for-Absentee-Ballots
City of Fond Du Lac,Fond Du Lac County,180 S Macy St,Fond Du Lac,54935,24/7,920-322-3430,,,,https://www.fdl.wi.gov/administration/wp-content/uploads/sites/19/2020/07/City-of-FDL-Absentee-Voting.pdf
City of Franklin,Milwaukee County,9229 W. Loomis Road,Franklin,53132,24/7,414-425-7500,,,,https://www.franklinwi.gov/Elections.htm
City of Janesville,Rock County,18 N Jackson St,Janesville,53548,24/7,608-755-3070,"the absentee ballot drop box is located at the public entrance to City Hall, on the Wall Street side of the building",,,https://www.ci.janesville.wi.us/government/departments-divisions/clerk-treasurer-office/election-and-voter-information/voting-by-absentee-ballot
City of La Crosse,La Crosse County,400 La Crosse St,La Crosse,54601,24/7,(608) 789-7510,eposit your voted absentee ballot in the GREEN drop box on the north side of City Hall before 5:00 p.m. on Election Day,,,https://www.cityoflacrosse.org/your-government/departments/city-clerk/elections-and-voting/how-to-apply-for-an-absentee-ballot
City of Sun Prairie,Dane County,125 W Main St,Sun Prairie,53590,24/7,608-837-2511,,,,https://cityofsunprairie.com/232/Absentee-Voting
City of Sun Prairie,Dane County,300 E Main St,Sun Prairie,53590,24/7,608-837-2511,,,,https://cityofsunprairie.com/232/Absentee-Voting
City of Sun Prairie,Dane County,2598 W Main St,Sun Prairie,53590,24/7,608-837-2511,,,,https://cityofsunprairie.com/232/Absentee-Voting
City of Wausau,Marathon County,407 Grant St,Wausau,54403,24/7,(715) 261-6620,,,,https://wsau.com/2020/08/16/absentee-ballot-dropbox-installed-at-wausau-city-hall/
City of West Allis,Milwaukee County,7525 W Greenfield Ave,West Allis,53214,24/7,414-302-8220,,,,https://www.westalliswi.gov/148/Absentee-Ballots
City of Plymouth,Sheboygan County,128 Smith St,Plymouth,53073,24/7,920-893-3739,In front of Town Hall to the right of the front door,,,https://drive.google.com/file/d/1IMJDLJZ8lGqy5lOzoP-4wXU1sr3R93M4/view
City of Sheboygan Falls,Sheboygan County,375 Buffalo St,Sheboygan Falls,53085,24/7,920-467-7900,Use Utility DropBox or Tax Payment DropBox in the City Hall parking lot.,,,https://drive.google.com/file/d/1IMJDLJZ8lGqy5lOzoP-4wXU1sr3R93M4/view
City of Sheboygan,Sheboygan County,828 Center Ave,Sheboygan,53081,24/7,920-459-3361,outside City Hall 828 Center Ave,,,https://drive.google.com/file/d/1IMJDLJZ8lGqy5lOzoP-4wXU1sr3R93M4/view
Town of Greenbush,Sheboygan County,N6644 Sugarbush Rd,Glenbeulah,53023,24/7,920-526-3115,right next to the front door of the Town Hall,,,https://drive.google.com/file/d/1IMJDLJZ8lGqy5lOzoP-4wXU1sr3R93M4/view
Town of Herman,Sheboygan County,N8139 Franklin Rd,Sheboygan,53073,24/7,920-565-2934,Secure slot in the locked door to right of front door at town hall,,,https://drive.google.com/file/d/1IMJDLJZ8lGqy5lOzoP-4wXU1sr3R93M4/view
Town of Holland,Sheboygan County,W3005 County Road G,Cedar Grove,53013,24/7,920-668-6625,In front of Town Hall to the right of the front door,,,https://drive.google.com/file/d/1IMJDLJZ8lGqy5lOzoP-4wXU1sr3R93M4/view
Town of Lyndon,Sheboygan County,W6081 County Road N,Plymouth,53073,24/7,920-528-7255,A black box to left of the front door to Town Hall,,,https://drive.google.com/file/d/1IMJDLJZ8lGqy5lOzoP-4wXU1sr3R93M4/view
Town of Mitchell,Sheboygan County,W8095 Parnell Rd,Cascade,53011,24/7,920-528-7776,To the left of the main entrance of Town Hall,,,https://drive.google.com/file/d/1IMJDLJZ8lGqy5lOzoP-4wXU1sr3R93M4/view
Town of Plymouth,Sheboygan County,120 Suhrke Rd,Plymouth,53073,24/7,920-893-5713,just outside the entrance door to the township hall.,,,https://drive.google.com/file/d/1IMJDLJZ8lGqy5lOzoP-4wXU1sr3R93M4/view
Town of Rhine,Sheboygan County,W5250 Cty. Rd. FF,Elkhart Lake,53020,24/7,920-876-3413,"Left side of front door to Town Hall, clearly marked",,,https://drive.google.com/file/d/1IMJDLJZ8lGqy5lOzoP-4wXU1sr3R93M4/view
Town of Scott,Sheboygan County,N1306 Boltonville Road,Adell,53001,24/7,920-994-4470,"At the town hall, to the left of the front door",,,https://drive.google.com/file/d/1IMJDLJZ8lGqy5lOzoP-4wXU1sr3R93M4/view
Town of Sheboygan,Sheboygan County,1512 N. 40th Street,Sheboygan,53081,24/7,920-451-2320,"Silver box in front of Town Hall, can drive up to it",,,https://drive.google.com/file/d/1IMJDLJZ8lGqy5lOzoP-4wXU1sr3R93M4/view
Town of Sheboygan Falls,Sheboygan County,W3860 CTH O,Sheboygan Falls,53085,24/7,920-467-1922,Locked dropbox on front of Town Hall building,,,https://drive.google.com/file/d/1IMJDLJZ8lGqy5lOzoP-4wXU1sr3R93M4/view
Town of Wilson,Sheboygan County,5935 S. Business Dr.,Sheboygan,53081,24/7,920-208-2390,In front of Town Hall to the left of the front door,,,https://drive.google.com/file/d/1IMJDLJZ8lGqy5lOzoP-4wXU1sr3R93M4/view
Villiage of Adell,Sheboygan County,508 Seifert St,Adell,53001,24/7,920-994-8620,"NO official dropbox, but anyone can leave ballots in their regular mailbox if they wish",,,https://drive.google.com/file/d/1IMJDLJZ8lGqy5lOzoP-4wXU1sr3R93M4/view
Village of Cascade,Sheboygan County,301 First Street,Cascade,53011,24/7,920-528-8642,south side of Village Hall by the parking lot,,,https://drive.google.com/file/d/1IMJDLJZ8lGqy5lOzoP-4wXU1sr3R93M4/view
Village of Cedar Grove,Sheboygan County,22 Willow Avenue,Cedar Grove,53013,24/7,920-668-6523,"Village Hall, 22 E. Willow, left of the front door",,,https://drive.google.com/file/d/1IMJDLJZ8lGqy5lOzoP-4wXU1sr3R93M4/view
Village of Elkhart Lake,Sheboygan County,40 Pine Street,Elkhart Lake,53020,24/7,920-876-2122,in Police Station at 40 Pine Street,,,https://drive.google.com/file/d/1IMJDLJZ8lGqy5lOzoP-4wXU1sr3R93M4/view
Village of Howards Grove,Sheboygan County,913 S Wisconsin Dr,Sheboygan,53083,24/7,920-234-0304,"DROPBOX in front of City Hall building, to the left of the main door",,,https://drive.google.com/file/d/1IMJDLJZ8lGqy5lOzoP-4wXU1sr3R93M4/view
Village of Kohler,Sheboygan County,319 Highland Dr,Kohler,53044,24/7,920-459-3873,Silver Box On West Side Entrance to Village Hall near Post Office,,,https://drive.google.com/file/d/1IMJDLJZ8lGqy5lOzoP-4wXU1sr3R93M4/view
Village of Oostburg,Sheboygan County,1140 Minnesota Avenue,Oostburg,53070,24/7,920-564-3214,By Municipal building front entrance,,,https://drive.google.com/file/d/1IMJDLJZ8lGqy5lOzoP-4wXU1sr3R93M4/view
